,Gene1,Gene2,Direction
2,Solyc00g005000.3,Solyc00g063110.3,+
7,Solyc00g005000.3,Solyc01g005090.3,+
15,Solyc00g005000.3,Solyc01g008640.3,+
25,Solyc00g005000.3,Solyc01g010835.1,-
26,Solyc00g005000.3,Solyc01g014270.3,-
28,Solyc00g005000.3,Solyc01g028870.3,-
29,Solyc00g005000.3,Solyc01g057530.1,+
32,Solyc00g005000.3,Solyc01g073670.3,+
37,Solyc00g005000.3,Solyc01g073820.3,+
39,Solyc00g005000.3,Solyc01g080230.3,+
42,Solyc00g005000.3,Solyc01g080960.3,+
43,Solyc00g005000.3,Solyc01g081270.2,+
50,Solyc00g005000.3,Solyc01g090980.1,+
52,Solyc00g005000.3,Solyc01g091470.3,+
53,Solyc00g005000.3,Solyc01g095670.3,-
54,Solyc00g005000.3,Solyc01g095830.3,+
55,Solyc00g005000.3,Solyc01g095860.3,+
62,Solyc00g005000.3,Solyc01g097920.3,+
64,Solyc00g005000.3,Solyc01g099320.3,+
80,Solyc00g005000.3,Solyc01g105070.3,+
81,Solyc00g005000.3,Solyc01g105460.3,-
82,Solyc00g005000.3,Solyc01g105750.1,+
83,Solyc00g005000.3,Solyc01g105960.2,+
103,Solyc00g005000.3,Solyc02g032620.1,+
104,Solyc00g005000.3,Solyc02g038760.3,-
109,Solyc00g005000.3,Solyc02g067120.3,-
110,Solyc00g005000.3,Solyc02g067430.3,+
127,Solyc00g005000.3,Solyc02g072190.3,+
128,Solyc00g005000.3,Solyc02g075625.1,+
131,Solyc00g005000.3,Solyc02g077230.3,+
133,Solyc00g005000.3,Solyc02g077680.3,-
138,Solyc00g005000.3,Solyc02g079410.2,+
146,Solyc00g005000.3,Solyc02g082170.2,+
162,Solyc00g005000.3,Solyc02g090670.3,-
164,Solyc00g005000.3,Solyc02g091030.3,-
177,Solyc00g005000.3,Solyc03g005330.1,+
178,Solyc00g005000.3,Solyc03g005640.1,+
186,Solyc00g005000.3,Solyc03g007580.2,+
190,Solyc00g005000.3,Solyc03g031450.3,+
194,Solyc00g005000.3,Solyc03g032080.3,+
203,Solyc00g005000.3,Solyc03g071850.1,+
211,Solyc00g005000.3,Solyc03g083690.1,+
212,Solyc00g005000.3,Solyc03g083847.1,+
213,Solyc00g005000.3,Solyc03g093270.3,+
221,Solyc00g005000.3,Solyc03g096430.1,+
222,Solyc00g005000.3,Solyc03g097410.1,+
229,Solyc00g005000.3,Solyc03g112770.3,+
232,Solyc00g005000.3,Solyc03g113580.1,+
239,Solyc00g005000.3,Solyc03g114640.3,-
245,Solyc00g005000.3,Solyc03g116120.2,+
250,Solyc00g005000.3,Solyc03g118540.3,+
255,Solyc00g005000.3,Solyc03g122320.1,+
267,Solyc00g005000.3,Solyc04g008150.2,+
271,Solyc00g005000.3,Solyc04g008710.3,-
272,Solyc00g005000.3,Solyc04g009280.1,+
273,Solyc00g005000.3,Solyc04g009430.3,-
276,Solyc00g005000.3,Solyc04g009780.1,+
280,Solyc00g005000.3,Solyc04g014540.2,+
288,Solyc00g005000.3,Solyc04g016070.2,+
296,Solyc00g005000.3,Solyc04g055130.1,+
298,Solyc00g005000.3,Solyc04g055150.1,+
300,Solyc00g005000.3,Solyc04g056440.2,+
303,Solyc00g005000.3,Solyc04g071010.3,-
304,Solyc00g005000.3,Solyc04g071360.3,-
305,Solyc00g005000.3,Solyc04g071580.3,+
307,Solyc00g005000.3,Solyc04g074170.2,+
314,Solyc00g005000.3,Solyc04g077260.3,+
322,Solyc00g005000.3,Solyc04g080250.3,+
325,Solyc00g005000.3,Solyc04g082780.3,-
326,Solyc00g005000.3,Solyc04g082860.2,+
327,Solyc00g005000.3,Solyc04g082930.2,-
332,Solyc00g005000.3,Solyc05g005840.3,+
333,Solyc00g005000.3,Solyc05g005850.3,+
334,Solyc00g005000.3,Solyc05g006310.2,+
338,Solyc00g005000.3,Solyc05g007550.2,+
346,Solyc00g005000.3,Solyc05g009320.3,+
350,Solyc00g005000.3,Solyc05g011970.3,+
360,Solyc00g005000.3,Solyc05g017950.3,-
361,Solyc00g005000.3,Solyc05g018920.1,+
367,Solyc00g005000.3,Solyc05g046000.3,+
369,Solyc00g005000.3,Solyc05g050420.1,+
374,Solyc00g005000.3,Solyc05g051220.3,+
376,Solyc00g005000.3,Solyc05g051610.2,+
383,Solyc00g005000.3,Solyc05g053190.3,-
388,Solyc00g005000.3,Solyc05g054350.3,-
390,Solyc00g005000.3,Solyc05g054795.1,+
397,Solyc00g005000.3,Solyc06g005620.3,+
414,Solyc00g005000.3,Solyc06g050140.1,+
416,Solyc00g005000.3,Solyc06g051160.3,-
420,Solyc00g005000.3,Solyc06g053920.3,-
427,Solyc00g005000.3,Solyc06g060500.1,+
434,Solyc00g005000.3,Solyc06g064970.3,+
435,Solyc00g005000.3,Solyc06g064980.3,+
437,Solyc00g005000.3,Solyc06g065010.3,+
439,Solyc00g005000.3,Solyc06g065270.3,-
447,Solyc00g005000.3,Solyc06g067860.3,+
449,Solyc00g005000.3,Solyc06g069045.1,+
455,Solyc00g005000.3,Solyc06g071060.1,+
457,Solyc00g005000.3,Solyc06g071790.3,-
460,Solyc00g005000.3,Solyc06g072880.2,+
461,Solyc00g005000.3,Solyc06g073165.1,+
462,Solyc00g005000.3,Solyc06g073560.3,+
463,Solyc00g005000.3,Solyc06g073585.1,+
470,Solyc00g005000.3,Solyc06g075555.1,+
476,Solyc00g005000.3,Solyc06g082730.2,+
488,Solyc00g005000.3,Solyc07g006750.3,+
492,Solyc00g005000.3,Solyc07g007480.2,+
501,Solyc00g005000.3,Solyc07g009435.1,+
511,Solyc00g005000.3,Solyc07g042550.3,+
512,Solyc00g005000.3,Solyc07g043150.1,+
516,Solyc00g005000.3,Solyc07g045310.3,-
526,Solyc00g005000.3,Solyc07g054130.2,+
529,Solyc00g005000.3,Solyc07g055350.3,+
532,Solyc00g005000.3,Solyc07g055625.1,+
535,Solyc00g005000.3,Solyc07g056090.1,+
541,Solyc00g005000.3,Solyc07g065400.3,-
542,Solyc00g005000.3,Solyc07g065660.3,+
543,Solyc00g005000.3,Solyc07g066460.3,-
555,Solyc00g005000.3,Solyc08g007560.2,+
558,Solyc00g005000.3,Solyc08g008440.2,+
559,Solyc00g005000.3,Solyc08g014050.2,+
561,Solyc00g005000.3,Solyc08g014330.3,+
565,Solyc00g005000.3,Solyc08g061060.2,+
568,Solyc00g005000.3,Solyc08g061920.2,+
569,Solyc00g005000.3,Solyc08g062570.1,+
570,Solyc00g005000.3,Solyc08g062610.3,-
577,Solyc00g005000.3,Solyc08g067700.1,+
580,Solyc00g005000.3,Solyc08g068640.4,+
586,Solyc00g005000.3,Solyc08g074270.3,-
592,Solyc00g005000.3,Solyc08g077010.1,+
596,Solyc00g005000.3,Solyc08g079720.3,+
597,Solyc00g005000.3,Solyc08g079970.1,+
599,Solyc00g005000.3,Solyc08g080550.1,-
600,Solyc00g005000.3,Solyc08g081350.2,+
604,Solyc00g005000.3,Solyc09g005210.3,+
607,Solyc00g005000.3,Solyc09g007640.3,+
611,Solyc00g005000.3,Solyc09g008920.3,-
613,Solyc00g005000.3,Solyc09g009520.3,+
615,Solyc00g005000.3,Solyc09g010450.1,-
619,Solyc00g005000.3,Solyc09g011500.3,+
620,Solyc00g005000.3,Solyc09g011510.2,+
621,Solyc00g005000.3,Solyc09g011520.3,+
623,Solyc00g005000.3,Solyc09g011570.3,+
625,Solyc00g005000.3,Solyc09g011630.3,+
626,Solyc00g005000.3,Solyc09g014710.3,+
630,Solyc00g005000.3,Solyc09g015440.1,+
641,Solyc00g005000.3,Solyc09g065920.3,-
642,Solyc00g005000.3,Solyc09g066250.1,+
644,Solyc00g005000.3,Solyc09g066270.3,+
645,Solyc00g005000.3,Solyc09g066310.3,+
654,Solyc00g005000.3,Solyc09g082480.2,+
661,Solyc00g005000.3,Solyc09g089790.3,+
666,Solyc00g005000.3,Solyc09g090790.3,+
671,Solyc00g005000.3,Solyc09g091840.3,+
674,Solyc00g005000.3,Solyc09g097960.3,+
675,Solyc00g005000.3,Solyc09g097965.1,+
677,Solyc00g005000.3,Solyc09g098040.3,-
680,Solyc00g005000.3,Solyc09g098590.3,-
684,Solyc00g005000.3,Solyc10g005380.3,+
688,Solyc00g005000.3,Solyc10g006720.3,+
694,Solyc00g005000.3,Solyc10g009483.1,+
696,Solyc00g005000.3,Solyc10g017510.3,+
713,Solyc00g005000.3,Solyc10g076240.2,+
717,Solyc00g005000.3,Solyc10g076940.2,+
723,Solyc00g005000.3,Solyc10g080130.2,+
724,Solyc00g005000.3,Solyc10g080250.1,+
728,Solyc00g005000.3,Solyc10g080560.2,+
733,Solyc00g005000.3,Solyc10g081790.1,+
741,Solyc00g005000.3,Solyc10g084910.2,+
742,Solyc00g005000.3,Solyc10g086100.2,+
751,Solyc00g005000.3,Solyc11g005860.2,+
752,Solyc00g005000.3,Solyc11g006090.2,+
763,Solyc00g005000.3,Solyc11g008560.2,+
767,Solyc00g005000.3,Solyc11g010790.1,+
769,Solyc00g005000.3,Solyc11g011330.2,+
771,Solyc00g005000.3,Solyc11g011750.1,+
772,Solyc00g005000.3,Solyc11g011840.2,-
780,Solyc00g005000.3,Solyc11g021140.1,+
781,Solyc00g005000.3,Solyc11g044540.2,-
782,Solyc00g005000.3,Solyc11g045410.1,+
786,Solyc00g005000.3,Solyc11g061980.1,+
794,Solyc00g005000.3,Solyc11g069380.2,-
800,Solyc00g005000.3,Solyc11g073160.2,-
808,Solyc00g005000.3,Solyc12g006110.2,+
818,Solyc00g005000.3,Solyc12g010380.2,-
822,Solyc00g005000.3,Solyc12g017400.2,+
827,Solyc00g005000.3,Solyc12g036550.2,+
829,Solyc00g005000.3,Solyc12g039080.2,-
831,Solyc00g005000.3,Solyc12g042980.2,+
834,Solyc00g005000.3,Solyc12g055680.1,+
836,Solyc00g005000.3,Solyc12g056050.1,+
838,Solyc00g005000.3,Solyc12g056730.1,+
843,Solyc00g005000.3,Solyc12g062810.1,+
845,Solyc00g005000.3,Solyc12g070270.2,-
846,Solyc00g005000.3,Solyc12g087810.2,-
847,Solyc00g005000.3,Solyc12g087830.2,-
849,Solyc00g005000.3,Solyc12g088350.2,+
851,Solyc00g005000.3,Solyc12g089130.2,+
854,Solyc00g005000.3,Solyc12g096480.1,+
1485,Solyc00g005080.2,Solyc02g038760.3,-
1487,Solyc00g005080.2,Solyc05g011970.3,+
1488,Solyc00g005080.2,Solyc05g054350.3,-
1489,Solyc00g005080.2,Solyc09g031800.1,+
1490,Solyc00g005080.2,Solyc09g056430.3,+
1491,Solyc00g005080.2,Solyc09g061390.1,+
1492,Solyc00g005080.2,Solyc10g031550.1,+
1493,Solyc00g005080.2,Solyc11g021310.1,+
1494,Solyc00g005080.2,Solyc12g062810.1,+
1495,Solyc00g005080.2,Solyc12g070220.2,+
3915,Solyc00g006800.3,Solyc01g095670.3,-
3926,Solyc00g006800.3,Solyc01g105460.3,-
3929,Solyc00g006800.3,Solyc01g107150.3,+
4002,Solyc00g006800.3,Solyc02g087560.1,-
4007,Solyc00g006800.3,Solyc02g090670.3,-
4012,Solyc00g006800.3,Solyc02g093940.3,-
4087,Solyc00g006800.3,Solyc04g010055.1,-
4088,Solyc00g006800.3,Solyc04g010060.2,-
4132,Solyc00g006800.3,Solyc05g007260.3,+
4136,Solyc00g006800.3,Solyc05g008600.3,+
4143,Solyc00g006800.3,Solyc05g012260.3,+
4151,Solyc00g006800.3,Solyc05g017950.3,-
4155,Solyc00g006800.3,Solyc05g024415.1,+
4214,Solyc00g006800.3,Solyc06g071790.3,-
4241,Solyc00g006800.3,Solyc07g014740.3,-
4254,Solyc00g006800.3,Solyc07g045310.3,-
4271,Solyc00g006800.3,Solyc07g063530.3,-
4288,Solyc00g006800.3,Solyc08g007530.3,+
4337,Solyc00g006800.3,Solyc09g008920.3,-
4343,Solyc00g006800.3,Solyc09g010450.1,-
4347,Solyc00g006800.3,Solyc09g011830.3,-
4365,Solyc00g006800.3,Solyc09g065920.3,-
4383,Solyc00g006800.3,Solyc09g098040.3,-
4387,Solyc00g006800.3,Solyc10g005580.3,+
4422,Solyc00g006800.3,Solyc10g081050.1,-
4426,Solyc00g006800.3,Solyc10g083220.2,+
4447,Solyc00g006800.3,Solyc11g011840.2,-
4465,Solyc00g006800.3,Solyc11g065240.2,-
4474,Solyc00g006800.3,Solyc11g069380.2,-
5367,Solyc00g007270.3,Solyc01g005010.3,-
5375,Solyc00g007270.3,Solyc01g006690.3,-
5387,Solyc00g007270.3,Solyc01g011095.1,-
5403,Solyc00g007270.3,Solyc01g087060.3,-
5416,Solyc00g007270.3,Solyc01g096370.3,-
5449,Solyc00g007270.3,Solyc02g062620.3,+
5456,Solyc00g007270.3,Solyc02g067060.3,-
5461,Solyc00g007270.3,Solyc02g069020.3,-
5471,Solyc00g007270.3,Solyc02g077460.2,-
5503,Solyc00g007270.3,Solyc02g091350.3,-
5510,Solyc00g007270.3,Solyc03g005050.3,+
5530,Solyc00g007270.3,Solyc03g058950.3,-
5537,Solyc00g007270.3,Solyc03g077920.1,-
5543,Solyc00g007270.3,Solyc03g096350.3,-
5546,Solyc00g007270.3,Solyc03g096960.3,+
5558,Solyc00g007270.3,Solyc03g114100.1,-
5616,Solyc00g007270.3,Solyc04g080190.3,-
5630,Solyc00g007270.3,Solyc05g008190.3,+
5640,Solyc00g007270.3,Solyc05g013030.1,+
5642,Solyc00g007270.3,Solyc05g013170.2,+
5668,Solyc00g007270.3,Solyc05g055770.3,+
5672,Solyc00g007270.3,Solyc05g056370.3,-
5674,Solyc00g007270.3,Solyc06g005250.3,-
5687,Solyc00g007270.3,Solyc06g059805.1,-
5736,Solyc00g007270.3,Solyc07g018180.2,-
5804,Solyc00g007270.3,Solyc08g075450.3,-
5806,Solyc00g007270.3,Solyc08g075880.3,-
5811,Solyc00g007270.3,Solyc08g076920.3,+
5854,Solyc00g007270.3,Solyc09g072580.3,+
5863,Solyc00g007270.3,Solyc09g083120.3,-
5866,Solyc00g007270.3,Solyc09g083330.3,-
5892,Solyc00g007270.3,Solyc10g011810.3,-
5916,Solyc00g007270.3,Solyc10g080530.2,-
5926,Solyc00g007270.3,Solyc10g086240.2,-
5937,Solyc00g007270.3,Solyc11g010190.1,+
5954,Solyc00g007270.3,Solyc11g040150.2,-
5968,Solyc00g007270.3,Solyc11g073020.2,-
5972,Solyc00g007270.3,Solyc12g006800.2,-
5988,Solyc00g007270.3,Solyc12g014080.2,+
5993,Solyc00g007270.3,Solyc12g017370.2,-
7091,Solyc00g009141.1,Solyc01g011095.1,-
7145,Solyc00g009141.1,Solyc02g067060.3,-
7150,Solyc00g009141.1,Solyc02g069020.3,-
7213,Solyc00g009141.1,Solyc03g077920.1,-
7252,Solyc00g009141.1,Solyc04g010055.1,-
7331,Solyc00g009141.1,Solyc05g056370.3,-
7345,Solyc00g009141.1,Solyc06g059805.1,-
7433,Solyc00g009141.1,Solyc08g075880.3,-
7487,Solyc00g009141.1,Solyc09g082770.3,+
7509,Solyc00g009141.1,Solyc10g011810.3,-
7570,Solyc00g009141.1,Solyc11g072510.2,-
7573,Solyc00g009141.1,Solyc12g006800.2,-
7587,Solyc00g009141.1,Solyc12g017370.2,-
8898,Solyc00g011880.3,Solyc00g127660.3,-
8903,Solyc00g011880.3,Solyc01g007900.3,-
8912,Solyc00g011880.3,Solyc01g044360.3,-
8923,Solyc00g011880.3,Solyc01g073950.3,-
8927,Solyc00g011880.3,Solyc01g081060.3,-
8929,Solyc00g011880.3,Solyc01g086660.2,-
8936,Solyc00g011880.3,Solyc01g091070.3,-
8940,Solyc00g011880.3,Solyc01g094040.3,-
8941,Solyc00g011880.3,Solyc01g095420.3,-
8943,Solyc00g011880.3,Solyc01g096350.3,-
8946,Solyc00g011880.3,Solyc01g096800.3,-
8948,Solyc00g011880.3,Solyc01g098725.1,-
8959,Solyc00g011880.3,Solyc01g100170.3,-
8966,Solyc00g011880.3,Solyc01g103170.3,-
8969,Solyc00g011880.3,Solyc01g104070.3,-
8970,Solyc00g011880.3,Solyc01g104140.3,-
8991,Solyc00g011880.3,Solyc01g109760.2,-
8995,Solyc00g011880.3,Solyc01g110643.1,-
8996,Solyc00g011880.3,Solyc01g111250.3,-
8997,Solyc00g011880.3,Solyc01g111420.3,-
9005,Solyc00g011880.3,Solyc02g021440.3,-
9015,Solyc00g011880.3,Solyc02g062710.1,-
9022,Solyc00g011880.3,Solyc02g067840.3,-
9027,Solyc00g011880.3,Solyc02g069240.1,-
9033,Solyc00g011880.3,Solyc02g072130.3,-
9034,Solyc00g011880.3,Solyc02g077100.3,-
9039,Solyc00g011880.3,Solyc02g078360.3,-
9043,Solyc00g011880.3,Solyc02g080130.3,-
9046,Solyc00g011880.3,Solyc02g082130.2,-
9053,Solyc00g011880.3,Solyc02g082710.3,-
9055,Solyc00g011880.3,Solyc02g084920.3,-
9059,Solyc00g011880.3,Solyc02g085640.3,-
9061,Solyc00g011880.3,Solyc02g086645.1,-
9062,Solyc00g011880.3,Solyc02g086880.3,-
9075,Solyc00g011880.3,Solyc02g089290.3,-
9085,Solyc00g011880.3,Solyc02g089720.2,-
9095,Solyc00g011880.3,Solyc02g092880.3,-
9122,Solyc00g011880.3,Solyc03g082940.3,-
9129,Solyc00g011880.3,Solyc03g096810.3,-
9137,Solyc00g011880.3,Solyc03g098400.2,-
9139,Solyc00g011880.3,Solyc03g110930.3,-
9149,Solyc00g011880.3,Solyc03g113390.3,-
9151,Solyc00g011880.3,Solyc03g114370.3,-
9153,Solyc00g011880.3,Solyc03g114790.3,-
9156,Solyc00g011880.3,Solyc03g116600.3,-
9157,Solyc00g011880.3,Solyc03g116750.3,-
9158,Solyc00g011880.3,Solyc03g117870.3,-
9169,Solyc00g011880.3,Solyc03g121590.3,-
9170,Solyc00g011880.3,Solyc03g121700.3,-
9172,Solyc00g011880.3,Solyc03g122240.3,-
9175,Solyc00g011880.3,Solyc03g123580.3,-
9176,Solyc00g011880.3,Solyc03g123640.3,-
9177,Solyc00g011880.3,Solyc03g123800.2,-
9178,Solyc00g011880.3,Solyc03g123870.3,-
9181,Solyc00g011880.3,Solyc04g007610.3,-
9183,Solyc00g011880.3,Solyc04g009770.3,-
9200,Solyc00g011880.3,Solyc04g051370.3,-
9219,Solyc00g011880.3,Solyc04g077680.3,-
9230,Solyc00g011880.3,Solyc04g082810.3,-
9236,Solyc00g011880.3,Solyc05g007290.2,-
9242,Solyc00g011880.3,Solyc05g012040.3,-
9247,Solyc00g011880.3,Solyc05g013170.2,-
9255,Solyc00g011880.3,Solyc05g018150.3,-
9256,Solyc00g011880.3,Solyc05g018320.3,-
9263,Solyc00g011880.3,Solyc05g023820.3,-
9264,Solyc00g011880.3,Solyc05g024290.3,-
9269,Solyc00g011880.3,Solyc05g050930.2,-
9270,Solyc00g011880.3,Solyc05g051040.3,-
9271,Solyc00g011880.3,Solyc05g051520.3,-
9273,Solyc00g011880.3,Solyc05g053780.3,-
9278,Solyc00g011880.3,Solyc05g055070.3,-
9279,Solyc00g011880.3,Solyc05g056100.3,-
9290,Solyc00g011880.3,Solyc06g034330.4,-
9293,Solyc00g011880.3,Solyc06g043100.1,-
9302,Solyc00g011880.3,Solyc06g053330.3,-
9303,Solyc00g011880.3,Solyc06g053800.2,-
9304,Solyc00g011880.3,Solyc06g054640.2,-
9305,Solyc00g011880.3,Solyc06g054650.3,-
9311,Solyc00g011880.3,Solyc06g063000.3,-
9320,Solyc00g011880.3,Solyc06g068330.1,-
9323,Solyc00g011880.3,Solyc06g069020.3,-
9332,Solyc00g011880.3,Solyc06g073500.3,-
9341,Solyc00g011880.3,Solyc06g082800.3,-
9351,Solyc00g011880.3,Solyc07g008000.3,-
9352,Solyc00g011880.3,Solyc07g008350.3,-
9353,Solyc00g011880.3,Solyc07g008450.3,-
9358,Solyc00g011880.3,Solyc07g022910.3,-
9360,Solyc00g011880.3,Solyc07g032740.3,-
9365,Solyc00g011880.3,Solyc07g044840.3,-
9371,Solyc00g011880.3,Solyc07g052570.3,-
9380,Solyc00g011880.3,Solyc07g055830.3,-
9383,Solyc00g011880.3,Solyc07g062080.3,-
9387,Solyc00g011880.3,Solyc07g063390.3,-
9398,Solyc00g011880.3,Solyc08g005230.3,-
9399,Solyc00g011880.3,Solyc08g005900.3,-
9403,Solyc00g011880.3,Solyc08g007910.3,-
9405,Solyc00g011880.3,Solyc08g008320.3,-
9420,Solyc00g011880.3,Solyc08g065860.3,-
9424,Solyc00g011880.3,Solyc08g068370.3,-
9428,Solyc00g011880.3,Solyc08g074410.3,-
9431,Solyc00g011880.3,Solyc08g075860.3,-
9434,Solyc00g011880.3,Solyc08g076140.3,-
9435,Solyc00g011880.3,Solyc08g076550.2,-
9441,Solyc00g011880.3,Solyc08g078370.3,-
9447,Solyc00g011880.3,Solyc08g080940.3,-
9450,Solyc00g011880.3,Solyc08g081950.3,-
9460,Solyc00g011880.3,Solyc09g007490.3,-
9461,Solyc00g011880.3,Solyc09g008430.3,-
9471,Solyc00g011880.3,Solyc09g015530.3,-
9472,Solyc00g011880.3,Solyc09g015820.3,-
9484,Solyc00g011880.3,Solyc09g065990.3,-
9491,Solyc00g011880.3,Solyc09g075010.3,-
9495,Solyc00g011880.3,Solyc09g082540.3,-
9498,Solyc00g011880.3,Solyc09g090720.3,-
9507,Solyc00g011880.3,Solyc10g006320.3,-
9508,Solyc00g011880.3,Solyc10g006710.3,-
9509,Solyc00g011880.3,Solyc10g006990.3,-
9512,Solyc00g011880.3,Solyc10g007550.3,-
9514,Solyc00g011880.3,Solyc10g008130.3,-
9517,Solyc00g011880.3,Solyc10g012170.3,-
9520,Solyc00g011880.3,Solyc10g018393.1,-
9537,Solyc00g011880.3,Solyc10g079080.2,-
9538,Solyc00g011880.3,Solyc10g080230.2,-
9539,Solyc00g011880.3,Solyc10g080320.2,-
9541,Solyc00g011880.3,Solyc10g080770.2,-
9542,Solyc00g011880.3,Solyc10g080930.2,-
9547,Solyc00g011880.3,Solyc10g083790.2,-
9549,Solyc00g011880.3,Solyc10g084160.2,-
9552,Solyc00g011880.3,Solyc10g085820.2,-
9555,Solyc00g011880.3,Solyc11g005330.2,-
9562,Solyc00g011880.3,Solyc11g006660.2,-
9567,Solyc00g011880.3,Solyc11g007170.2,-
9571,Solyc00g011880.3,Solyc11g008390.2,-
9579,Solyc00g011880.3,Solyc11g011780.2,-
9589,Solyc00g011880.3,Solyc11g017300.2,-
9597,Solyc00g011880.3,Solyc11g039840.2,-
9602,Solyc00g011880.3,Solyc11g064950.2,-
9606,Solyc00g011880.3,Solyc11g065980.2,-
9613,Solyc00g011880.3,Solyc11g069530.2,-
9615,Solyc00g011880.3,Solyc11g071770.1,-
9616,Solyc00g011880.3,Solyc11g073300.2,-
9617,Solyc00g011880.3,Solyc12g005080.2,-
9618,Solyc00g011880.3,Solyc12g005220.2,-
9624,Solyc00g011880.3,Solyc12g009340.2,-
9625,Solyc00g011880.3,Solyc12g010040.2,-
9628,Solyc00g011880.3,Solyc12g010410.2,-
9641,Solyc00g011880.3,Solyc12g026430.2,-
9643,Solyc00g011880.3,Solyc12g040810.2,-
9644,Solyc00g011880.3,Solyc12g042380.2,-
9645,Solyc00g011880.3,Solyc12g043110.2,-
9652,Solyc00g011880.3,Solyc12g062870.2,-
9655,Solyc00g011880.3,Solyc12g095880.2,-
9657,Solyc00g011880.3,Solyc12g095990.2,-
9659,Solyc00g011880.3,Solyc12g096050.2,-
9660,Solyc00g011880.3,Solyc12g096280.2,-
9665,Solyc00g011880.3,Solyc12g098980.2,-
9669,Solyc00g011880.3,Solyc12g099100.2,-
9672,Solyc00g011880.3,Solyc12g099770.2,-
23095,Solyc00g063110.3,Solyc01g005090.3,+
23102,Solyc00g063110.3,Solyc01g008640.3,+
23112,Solyc00g063110.3,Solyc01g010835.1,-
23113,Solyc00g063110.3,Solyc01g014270.3,-
23115,Solyc00g063110.3,Solyc01g028870.3,-
23116,Solyc00g063110.3,Solyc01g057530.1,+
23120,Solyc00g063110.3,Solyc01g073670.3,+
23125,Solyc00g063110.3,Solyc01g073820.3,+
23126,Solyc00g063110.3,Solyc01g080230.3,+
23130,Solyc00g063110.3,Solyc01g080960.3,+
23131,Solyc00g063110.3,Solyc01g081270.2,+
23139,Solyc00g063110.3,Solyc01g091470.3,+
23140,Solyc00g063110.3,Solyc01g095830.3,+
23141,Solyc00g063110.3,Solyc01g095860.3,+
23148,Solyc00g063110.3,Solyc01g099320.3,+
23164,Solyc00g063110.3,Solyc01g105070.3,+
23165,Solyc00g063110.3,Solyc01g105460.3,-
23166,Solyc00g063110.3,Solyc01g105750.1,+
23168,Solyc00g063110.3,Solyc01g105960.2,+
23190,Solyc00g063110.3,Solyc02g032620.1,+
23191,Solyc00g063110.3,Solyc02g038760.3,-
23196,Solyc00g063110.3,Solyc02g067120.3,-
23197,Solyc00g063110.3,Solyc02g067430.3,+
23214,Solyc00g063110.3,Solyc02g072190.3,+
23215,Solyc00g063110.3,Solyc02g075625.1,+
23218,Solyc00g063110.3,Solyc02g077230.3,+
23221,Solyc00g063110.3,Solyc02g077680.3,-
23235,Solyc00g063110.3,Solyc02g082170.2,+
23252,Solyc00g063110.3,Solyc02g090670.3,-
23254,Solyc00g063110.3,Solyc02g091030.3,-
23268,Solyc00g063110.3,Solyc03g005330.1,+
23269,Solyc00g063110.3,Solyc03g005640.1,+
23276,Solyc00g063110.3,Solyc03g007580.2,+
23280,Solyc00g063110.3,Solyc03g031450.3,+
23284,Solyc00g063110.3,Solyc03g032080.3,+
23292,Solyc00g063110.3,Solyc03g071850.1,+
23300,Solyc00g063110.3,Solyc03g083690.1,+
23301,Solyc00g063110.3,Solyc03g083847.1,+
23302,Solyc00g063110.3,Solyc03g093270.3,+
23309,Solyc00g063110.3,Solyc03g096430.1,+
23310,Solyc00g063110.3,Solyc03g097410.1,+
23312,Solyc00g063110.3,Solyc03g111410.3,+
23317,Solyc00g063110.3,Solyc03g113580.1,+
23324,Solyc00g063110.3,Solyc03g114640.3,-
23330,Solyc00g063110.3,Solyc03g116120.2,+
23335,Solyc00g063110.3,Solyc03g118540.3,+
23338,Solyc00g063110.3,Solyc03g122320.1,+
23348,Solyc00g063110.3,Solyc04g008150.2,+
23352,Solyc00g063110.3,Solyc04g008710.3,-
23353,Solyc00g063110.3,Solyc04g009280.1,+
23354,Solyc00g063110.3,Solyc04g009430.3,-
23356,Solyc00g063110.3,Solyc04g009780.1,+
23360,Solyc00g063110.3,Solyc04g014540.2,+
23368,Solyc00g063110.3,Solyc04g016070.2,+
23373,Solyc00g063110.3,Solyc04g049380.3,-
23379,Solyc00g063110.3,Solyc04g055130.1,+
23381,Solyc00g063110.3,Solyc04g055150.1,+
23383,Solyc00g063110.3,Solyc04g056440.2,+
23386,Solyc00g063110.3,Solyc04g071010.3,-
23388,Solyc00g063110.3,Solyc04g071360.3,-
23389,Solyc00g063110.3,Solyc04g071580.3,+
23391,Solyc00g063110.3,Solyc04g074170.2,+
23398,Solyc00g063110.3,Solyc04g077260.3,+
23405,Solyc00g063110.3,Solyc04g080250.3,+
23407,Solyc00g063110.3,Solyc04g080670.3,+
23409,Solyc00g063110.3,Solyc04g082780.3,-
23410,Solyc00g063110.3,Solyc04g082930.2,-
23414,Solyc00g063110.3,Solyc05g005840.3,+
23415,Solyc00g063110.3,Solyc05g005850.3,+
23416,Solyc00g063110.3,Solyc05g006310.2,+
23418,Solyc00g063110.3,Solyc05g007550.2,+
23427,Solyc00g063110.3,Solyc05g009320.3,+
23432,Solyc00g063110.3,Solyc05g011970.3,+
23437,Solyc00g063110.3,Solyc05g013680.3,+
23442,Solyc00g063110.3,Solyc05g017950.3,-
23443,Solyc00g063110.3,Solyc05g018920.1,+
