Index,Cluster,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15
pmb1318,5,457.2,209.2,4.49,456.2,[M+H]+,-,8-Methyl-2-oxo-4-phenyl-2H-chromen-7-yl 4-(hexyloxy) benzoate,Benzoic acid and derivatives,-0.9372121849423357,-0.847853089112207,0.6211105667471319,-0.8465513409276865,-0.9449232678244588,-0.8301019775051095,0.9536480575200913,-0.8444212075348349,-0.9409280843054214,-0.22265893831023423,2.938222335193588,-0.8735330305704746,-0.7749551907790602,-0.1303531579533274,-0.11141863890575682,0.7998050902585799,0.3986299679381771,0.9856000584128668,0.9938839104961787,0.614010122104293
pmb1587,1,207.2,165.2,8.38,206.2,[M+H]+,-,"4-Hydroxy-3,5-diisopropylbenzaldehyde",Benzoic acid and derivatives,-0.5082546014586798,-0.2763339297726138,3.3040538040475447,-0.2830758097634878,-0.5992250354688732,-0.1891389485573099,2.15343961893838,-0.3756642949714909,-0.48321975375923426,-0.28127797509925473,1.2545222868218453,-0.429599334898483,-0.44564500927676315,-0.4776914121667176,-0.5163448574477286,-0.5223226577063036,-0.429599334898483,-0.3176841270499744,-0.23363535649707842,-0.3433032710152957
pmb2654,5,460.1,117.9,0.78,461.1,[M-H]-,-,Anthranilate O-hexosyl-O-hexoside,Benzoic acid and derivatives,-1.2225237284695711,-1.3531004214490128,-0.2639018977685976,-1.0311574746172871,-0.00427048903333518,-0.440496019744565,0.626902418409286,-0.8216617861895237,-0.5900078999472852,0.5978057950165407,2.0078729286649493,1.524421339985495,1.793005555918525,1.096924796292089,0.568709171623796,0.4679900906489097,-0.583964755088792,-0.6455153045734446,-0.7965939260357742,-0.9304383936424009
pmb2871,3,315.1,153.0,1.82,316.1,[M-H]-,-,"2,5-Dihydroxy benzoic acid O-hexside",Benzoic acid and derivatives,-0.35768275142369294,0.5814861560450624,-0.2716832729781528,0.588994047020467,2.147905227731686,-0.4798566136598174,-0.7904102858242678,0.8783891173451414,1.2879104432762847,0.3275829339677535,-0.26212777537309273,-0.956266422826381,-1.1446462327547067,-1.0552340765930739,-1.1303129863471166,-1.091408460383658,-1.0634245031116967,0.7459772219607385,0.1699172234842635,1.874891010444257
pmb2928,2,331.0,313.1,1.97,332.0,[M-H]-,-,Gallic acid O-Hexoside,Benzoic acid and derivatives,-0.42448447455353505,1.6484512003542366,1.341159932918866,2.448688875967181,-0.688883002576052,0.5594877713801417,0.6663995248420311,1.629245496139526,-0.6461823202053452,-0.060216284614522594,0.2009812927055424,-0.753926320849872,-0.7614165454936092,-0.7641693630977178,-0.76801050394066,-0.751877712400303,-0.7621847736621976,-0.7415706511384083,-0.7114817145353615,-0.6600104272399369
pmb3107,3,359.1,182.1,2.25,360.1,[M-H]-,-,Syringic acid O-glucoside,Benzoic acid and derivatives,0.18782449553263375,-0.41063076484118693,-0.4363917608853234,-0.5416800742626839,0.7664711112210011,-0.07564023673694326,-0.38574798457128245,-0.4016534480379272,3.4274649071437286,1.9179095707695226,0.6913348727589365,-0.5696561256484942,-0.570466035751397,-0.5449977782986711,-0.5345567685383583,-0.5284092581187348,-0.533483393703186,-0.49854992179484947,-0.4830347764500855,-0.4761066297867003
pme0413,3,151.047,136.0,4.0,152.0473,[M-H]-,C00755,Vanillin,Benzoic acid and derivatives,2.3236145390399723,0.008599398565432327,-0.5157673342187108,-0.29590642244270726,2.5548847828436227,-0.1440389623449769,-0.5217803605576058,-0.08467959976870658,2.1008242041757894,0.01707930750489958,-0.34909857851754683,-0.5443677543690957,-0.5708867423252475,-0.5642569953362097,-0.5627151937108519,-0.5600941309477439,-0.5631777341984592,-0.5829127950030374,-0.565259166392692,-0.5800604619961256
pme2670,3,121.04,92.0,3.72,122.037,[M-H]-,C00633,4-Hydroxybenzaldehyde,Benzoic acid and derivatives,2.1784751519264143,-0.9250232142771856,-0.6519247147450429,-0.49052174714146396,1.7866636001351175,-1.0007539545114734,-0.7987078483265586,-0.5273637288770635,1.4065479155614715,-0.9022162732027669,-0.5694688508606058,-0.7645559160510187,-0.753093966177721,-0.35134092725142124,-0.5741471977476661,-0.46479083926263254,1.5936817910438819,0.5942699372956339,0.7738014990865711,0.44046928338352764
pmf0249,4,121.0,76.8,4.56,122.0,[M-H]-,C00180,Benzoic acid,Benzoic acid and derivatives,-0.2756918011250197,4.157122650426841,0.5559139425732776,-0.3751945485881281,-0.28821201438196714,0.6877056610674612,0.0745446907732728,-0.4315355082443915,-0.3491656841855269,-0.2499924160186539,-0.25295772968477304,-0.2720675288664296,-0.2799750319760806,-0.3992465372133166,-0.4035297680643776,-0.40649508173049675,-0.380795696624131,-0.36596912829353534,-0.38639684466013374,-0.35806162518388435
pmf0266,1,138.05548,119.8,2.95,137.05548,[M+H]+,C00108,Anthranilic acid,Benzoic acid and derivatives,-0.7739224620893428,0.1330483288568725,3.553901156054813,1.2490712370207397,-0.7671494969763918,-0.4492244927938408,1.4846086805009762,0.21088688314004084,-0.6901196549455162,-0.7154930018611982,-0.5360599708837649,-0.26625334571262704,-0.46236606689359655,-0.3592552547262827,-0.3167978614809182,-0.3511681322033561,-0.2996127261196992,-0.2743404682355537,-0.12270692093068042,-0.2470464297206765
